,fake_dir,transform,repo_id,distance_metric,acc,ap,auc,tpr5fpr
6,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/T2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.48046875,0.3378479125940209,0.16253662109375,0.0
22,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/T2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.48046875,0.3220873447343987,0.092620849609375,0.0
38,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/T2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.48046875,0.32688191417674173,0.1134033203125,0.0
54,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/T2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.48046875,0.327562414559867,0.112548828125,0.0
70,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/T2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.48046875,0.3559370971764153,0.236083984375,0.0
86,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/T2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.48046875,0.3835498186770989,0.324981689453125,0.0
102,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/T2I/art,clean,max,lpips_vgg_0,0.48046875,0.3378479125940209,0.16253662109375,0.0
118,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/T2I/art,clean,max,lpips_vgg_1,0.48046875,0.3220873447343987,0.092620849609375,0.0
134,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/T2I/art,clean,max,lpips_vgg_2,0.48046875,0.32688191417674173,0.1134033203125,0.0
150,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/T2I/art,clean,max,lpips_vgg_3,0.48046875,0.327562414559867,0.112548828125,0.0
166,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/T2I/art,clean,max,lpips_vgg_4,0.48046875,0.3559370971764153,0.236083984375,0.0
182,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/T2I/art,clean,max,lpips_vgg_5,0.48046875,0.3835498186770989,0.324981689453125,0.0
7,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/T2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.48046875,0.3828999532094851,0.322723388671875,0.0
23,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/T2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.484375,0.43413638446377123,0.426910400390625,0.0078125
39,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/T2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.48046875,0.4004722594917297,0.37017822265625,0.0
55,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/T2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.48046875,0.3759979498006858,0.3035888671875,0.0
71,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/T2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.48046875,0.36466269239517934,0.267486572265625,0.0
87,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/T2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.484375,0.3832192881862151,0.318817138671875,0.0078125
103,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/T2I/pixiv,clean,max,lpips_vgg_0,0.48046875,0.3828999532094851,0.322723388671875,0.0
119,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/T2I/pixiv,clean,max,lpips_vgg_1,0.484375,0.43413638446377123,0.426910400390625,0.0078125
